🕘️更新时间,#genre#
2025-11-23 18:21:58,https://live.chinacert.cftest5.cn/mg/?id=608807420$订阅源

📺央视频道,#genre#
CCTV-1,https://live.chinacert.cftest5.cn/mg/?id=608807420$订阅源
CCTV-2,https://live.chinacert.cftest5.cn/mg/?id=631780532$订阅源
CCTV-3,https://live.chinacert.cftest5.cn/mg/?id=624878271$订阅源
CCTV-4,https://live.chinacert.cftest5.cn/mg/?id=631780421$订阅源
CCTV-5,https://live.chinacert.cftest5.cn/mg/?id=641886683$订阅源
CCTV-5+,https://live.chinacert.cftest5.cn/mg/?id=641886773$订阅源
CCTV-6,https://live.chinacert.cftest5.cn/mg/?id=624878396$订阅源
CCTV-7,https://live.chinacert.cftest5.cn/mg/?id=673168121$订阅源
CCTV-8,https://live.chinacert.cftest5.cn/mg/?id=624878356$订阅源
CCTV-9,https://live.chinacert.cftest5.cn/mg/?id=673168140$订阅源
CCTV-10,https://live.chinacert.cftest5.cn/mg/?id=624878405$订阅源
CCTV-11,https://live.chinacert.cftest5.cn/mg/?id=667987558$订阅源
CCTV-12,https://live.chinacert.cftest5.cn/mg/?id=673168185$订阅源
CCTV-13,https://live.chinacert.cftest5.cn/mg/?id=608807423$订阅源
CCTV-13,https://epg.pw/stream/5d3d047c64e44d0a24dc33e5700e579457201d2960036b43819bd930a0bb76a7.m3u8$订阅源
CCTV-14,https://live.chinacert.cftest5.cn/mg/?id=624878440$订阅源
CCTV-15,https://live.chinacert.cftest5.cn/mg/?id=673168223$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-17,https://live.chinacert.cftest5.cn/mg/?id=673168256$订阅源

📡卫视频道,#genre#
广东卫视,https://live.chinacert.cftest5.cn/mg/?id=608831231$订阅源
湖北卫视,https://live.chinacert.cftest5.cn/mg/?id=947472496$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
东方卫视,https://live.chinacert.cftest5.cn/mg/?id=651632648$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,https://live.chinacert.cftest5.cn/mg/?id=849116810$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
海南卫视,https://live.chinacert.cftest5.cn/mg/?id=947472502$订阅源
河南卫视,https://live.chinacert.cftest5.cn/mg/?id=790187291$订阅源
吉林卫视,https://live.chinacert.cftest5.cn/mg/?id=947472500$订阅源
江苏卫视,https://live.chinacert.cftest5.cn/mg/?id=623899368$订阅源
江西卫视,https://live.chinacert.cftest5.cn/mg/?id=783847495$订阅源
辽宁卫视,https://live.chinacert.cftest5.cn/mg/?id=630291707$订阅源
青海卫视,https://live.chinacert.cftest5.cn/mg/?id=947472506$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
陕西卫视,https://live.chinacert.cftest5.cn/mg/?id=738910838$订阅源
西藏卫视,http://cc02.tv12.xyz/9.m3u8$订阅源
新疆卫视,http://cc02.tv12.xyz/10.m3u8$订阅源

📡体育频道,#genre#
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源

🌊港·澳·台,#genre#
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw$订阅源
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd$订阅源
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx$订阅源
凤凰资讯,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixinfo_hd$订阅源
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk$订阅源
凤凰香港,https://smt.1678520.xyz/smt3.2.1.php?id=hkphoenix_twn$订阅源
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8$订阅源
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$订阅源
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8$订阅源
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8$订阅源
